frame,timestamp_sec,emotion,emotions_detail
165,6.948246094243483,fear,"{""angry"": 0.8697717189788818, ""disgust"": 2.2648916162687494e-12, ""fear"": 96.25646209716797, ""happy"": 2.9091231112943206e-07, ""sad"": 3.9153663237812e-05, ""surprise"": 2.8737361431121826, ""neutral"": 1.0825493035326872e-07}"
170,7.1587990061902556,angry,"{""angry"": 83.62193298339844, ""disgust"": 1.64923767442815e-05, ""fear"": 6.299279689788818, ""happy"": 0.007302550133317709, ""sad"": 0.0121766934171319, ""surprise"": 10.042520523071289, ""neutral"": 0.0167661365121603}"
175,7.369351918137028,fear,"{""angry"": 0.9881112575531006, ""disgust"": 2.904863460884144e-09, ""fear"": 98.75177764892578, ""happy"": 0.023071913048624992, ""sad"": 9.292594995713443e-07, ""surprise"": 0.23704130947589874, ""neutral"": 1.5090736269485205e-06}"
180,7.5799048300838,fear,"{""angry"": 0.039282459765672684, ""disgust"": 1.3417705980645523e-15, ""fear"": 99.9607162475586, ""happy"": 2.0438491787899693e-08, ""sad"": 2.610012249729121e-12, ""surprise"": 3.687852467848529e-09, ""neutral"": 2.6445950447308254e-15}"
185,7.790457742030572,sad,"{""angry"": 13.903125762939453, ""disgust"": 0.02815992571413517, ""fear"": 24.202739715576172, ""happy"": 0.0950542613863945, ""sad"": 46.423912048339844, ""surprise"": 0.2861557900905609, ""neutral"": 15.060853958129883}"
190,8.001010653977344,neutral,"{""angry"": 8.02664852142334, ""disgust"": 0.00103805644903332, ""fear"": 4.371557712554932, ""happy"": 0.0055119008757174015, ""sad"": 22.87950325012207, ""surprise"": 0.00521913031116128, ""neutral"": 64.71051788330078}"
195,8.211563565924116,sad,"{""angry"": 1.4816856384277344, ""disgust"": 5.406476338976063e-05, ""fear"": 1.5942493677139282, ""happy"": 0.00029075564816594124, ""sad"": 55.6422004699707, ""surprise"": 0.004590881522744894, ""neutral"": 41.27693176269531}"
200,8.422116477870889,sad,"{""angry"": 3.8956046104431152, ""disgust"": 2.9479582735802978e-05, ""fear"": 21.2911434173584, ""happy"": 0.001204627682454884, ""sad"": 68.18436431884766, ""surprise"": 0.004114076495170593, ""neutral"": 6.623540878295898}"
205,8.63266938981766,neutral,"{""angry"": 1.7460124492645264, ""disgust"": 0.00023157733085099608, ""fear"": 1.6194881200790405, ""happy"": 1.1851876974105835, ""sad"": 6.05331563949585, ""surprise"": 0.00269005517475307, ""neutral"": 89.39307403564453}"
210,8.843222301764433,neutral,"{""angry"": 0.14405040442943573, ""disgust"": 4.699074452219065e-06, ""fear"": 7.60960578918457, ""happy"": 0.3217344284057617, ""sad"": 3.0486440658569336, ""surprise"": 0.0100267818197608, ""neutral"": 88.86592864990234}"
215,9.053775213711205,sad,"{""angry"": 1.201935052871704, ""disgust"": 0.006487673614174128, ""fear"": 32.32511520385742, ""happy"": 0.09857364743947983, ""sad"": 42.76806640625, ""surprise"": 0.0028887856751680374, ""neutral"": 23.596933364868164}"
220,9.264328125657977,sad,"{""angry"": 0.9830939769744873, ""disgust"": 0.007010975852608681, ""fear"": 48.597896575927734, ""happy"": 0.01219659112393856, ""sad"": 49.7674560546875, ""surprise"": 0.00034301538835279644, ""neutral"": 0.6320018172264099}"
225,9.47488103760475,fear,"{""angry"": 3.0056726932525635, ""disgust"": 0.05460524186491966, ""fear"": 70.74559783935547, ""happy"": 0.4778808057308197, ""sad"": 23.328832626342773, ""surprise"": 0.2551359236240387, ""neutral"": 2.1322813034057617}"
